"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mon.precip"
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,23,"PHYSP7","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Physidae",NA,NA,"Physa","Physa sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,247.311827956989,"count per square meter","Physa_vernalis",8,"scr",NA,NA
"SYCA.20170703.CORE.4","D14","SYCA",2017-07-03 17:30:00,4,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,666.666666666667,"count per square meter",NA,5,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"DERDIG","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae","Naidinae",NA,"Dero","Dero digitata","species","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,10,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.3","D14","SYCA",2017-07-03 17:30:00,1,"ASESP2","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Isopoda","Asellidae",NA,NA,NA,"Asellidae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,8,"cg",NA,NA
"SYCA.20170703.SURBER.7","D14","SYCA",2017-07-03 17:30:00,2,"COLSP1","Arthropoda","Hexapoda","Collembola",NA,"Collembola",NA,NA,NA,NA,"Collembola sp.","order","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,21.505376344086,"count per square meter",NA,5,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,32.258064516129,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,32.258064516129,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,32.258064516129,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.3","D14","SYCA",2017-07-03 17:30:00,1,"PROSP37","Nemertea",NA,"Enopla",NA,"Hoplonemertea","Tetrastemmatidae",NA,NA,"Prostoma","Prostoma sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","Prostoma",8,"prd",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"LEBSP1","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Lebertiidae",NA,NA,"Lebertia","Lebertia sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","Lebertia",8,"prd",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"TRISP13","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Leptohyphidae",NA,NA,"Tricorythodes","Tricorythodes sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,4,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.6","D14","SYCA",2017-07-03 17:30:00,1,"BEZSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Palpomyiini","Bezzia/Palpomyia","Bezzia/Palpomyia sp.","speciesGroup","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","Bezzia",6,"prd",NA,NA
"SYCA.20170703.CORE.6","D14","SYCA",2017-07-03 17:30:00,52,"PARSP25","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Parakiefferiella","Parakiefferiella sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,8666.66666666667,"count per square meter","midges",4,"cg",NA,NA
"SYCA.20170703.SURBER.3","D14","SYCA",2017-07-03 17:30:00,1,"CORSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Corixidae",NA,NA,NA,"Corixidae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,5,"prd",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,7,"APESP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Apedilum","Apedilum sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,75.2688172043011,"count per square meter",NA,6,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,833.333333333333,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,833.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,833.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.7","D14","SYCA",2017-07-03 17:30:00,1,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,10,"cg",NA,NA
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,1,"CRYSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Cryptotendipes","Cryptotendipes sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,6,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,2,"STISP4","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Ceratopogonini","Stilobezzia","Stilobezzia sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,21.505376344086,"count per square meter",NA,6,"prd",NA,NA
"SYCA.20170703.SURBER.3","D14","SYCA",2017-07-03 17:30:00,1,"CALSP39","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Stratiomyidae","Stratiomyinae","Oxycerini","Caloparyphus/Euparyphus","Caloparyphus/Euparyphus sp.","speciesGroup","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,7,"cg",NA,NA
"SYCA.20170703.SURBER.7","D14","SYCA",2017-07-03 17:30:00,11,"CALSP14","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Callibaetis","Callibaetis sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,118.279569892473,"count per square meter",NA,7,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,2,"CORSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Corixidae",NA,NA,NA,"Corixidae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,21.505376344086,"count per square meter",NA,5,"prd",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"ALOSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Coelotanypodini","Alotanypus","Alotanypus sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter",NA,9,"prd",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"PSESP18","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Pseudochironomini","Pseudochironomus","Pseudochironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","midges",5,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"PARSP34","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Paratanytarsus","Paratanytarsus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","midges",6,"cf",NA,NA
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,9,"PARSP25","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Parakiefferiella","Parakiefferiella sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,96.7741935483871,"count per square meter","midges",4,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"CALSP39","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Stratiomyidae","Stratiomyinae","Oxycerini","Caloparyphus/Euparyphus","Caloparyphus/Euparyphus sp.","speciesGroup","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,7,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,4,"ALOSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Coelotanypodini","Alotanypus","Alotanypus sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,666.666666666667,"count per square meter",NA,9,"prd",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,56,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,602.150537634409,"count per square meter",NA,5,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,2,"PROSP23","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Procladiini","Procladius","Procladius sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter","midges",9,"prd","cg",NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,33,"NAISP1","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Tanaidacea","Pseudotanaidae",NA,NA,"Nais","Nais sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,354.838709677419,"count per square meter",NA,NA,NA,NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"PHYSP7","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Physidae",NA,NA,"Physa","Physa sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","Physa_vernalis",8,"scr",NA,NA
"SYCA.20170703.CORE.4","D14","SYCA",2017-07-03 17:30:00,1,"HYDSP24","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydroptilidae","Hydroptilinae","Hydroptilini","Hydroptila","Hydroptila sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter",NA,6,"scr","ph",NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"ALOSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Coelotanypodini","Alotanypus","Alotanypus sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter",NA,9,"prd",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"HYDSP5","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydroptilidae",NA,NA,NA,"Hydroptilidae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","unknown_hydroptilid",2,"scr",NA,NA
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,4,"BEZSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Palpomyiini","Bezzia/Palpomyia","Bezzia/Palpomyia sp.","speciesGroup","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,43.010752688172,"count per square meter","Bezzia",6,"prd",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,4,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,666.666666666667,"count per square meter",NA,10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,21,"PSESP18","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Pseudochironomini","Pseudochironomus","Pseudochironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,225.806451612903,"count per square meter","midges",5,"cg",NA,NA
"SYCA.20170703.SURBER.3","D14","SYCA",2017-07-03 17:30:00,1,"THIGRO","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Thienemannimyia","Thienemannimyia gr.","speciesGroup","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,6,"prd",NA,NA
"SYCA.20170703.CORE.4","D14","SYCA",2017-07-03 17:30:00,7,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,1166.66666666667,"count per square meter",NA,6,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"ALOSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Coelotanypodini","Alotanypus","Alotanypus sp.","genus","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter",NA,9,"prd",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,1,"BEZSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Palpomyiini","Bezzia/Palpomyia","Bezzia/Palpomyia sp.","speciesGroup","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","Bezzia",6,"prd",NA,NA
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,1,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,6,"cg",NA,NA
"SYCA.20170703.CORE.6","D14","SYCA",2017-07-03 17:30:00,2,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,333.333333333333,"count per square meter",NA,5,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,21.505376344086,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,21.505376344086,"count per square meter","segmented_worms",10,"cg",NA,NA
