"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mean.parws","median.parws"
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,1,"CHASP12","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Chaetocladius","Chaetocladius sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,4,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","segmented_worms",8,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,4,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,4,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"PSITRI","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Psilometriocnemus","Psilometriocnemus triannulatus","species","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,2,"EUKBRE1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella brevicalcar gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,3,"PARSP29","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Parorthocladius","Parorthocladius sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,12,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,19,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,76,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,1,"PAGSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Diamesinae","Diamesini","Pagastia","Pagastia sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","midges",1,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,9,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,36,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,6,"ZAPORE","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Nemouridae","Nemourinae",NA,"Zapada","Zapada oregonensis gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,24,"count per square meter",NA,2,"sh",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,1,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"CHASP12","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Chaetocladius","Chaetocladius sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",8,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,2,"ZAPORE","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Nemouridae","Nemourinae",NA,"Zapada","Zapada oregonensis gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,2,"sh",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"DIASP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Diamesinae","Diamesini","Diamesa","Diamesa sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,5,"HELSP20","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,"Helodon","Helodon sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,20,"count per square meter",NA,2,"cf",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"STISP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Stilocladius","Stilocladius sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,3,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,1,"BAEBIC","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Baetis","Baetis bicaudatus","species","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"NEMSP5","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Nemouridae",NA,NA,NA,"Nemouridae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,2,"sh",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,1,"DIASP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Diamesinae","Diamesini","Diamesa","Diamesa sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,5,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,2,"EUKCOE","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella coerulescens gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,15,"PERSP19","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Psychodidae","Psychodinae",NA,"Pericoma/Telmatoscopus","Pericoma/Telmatoscopus sp.","speciesGroup","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,60,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,4,"EUKCOE","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella coerulescens gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,2,"EUKGRA","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella gracei gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,12,"count per square meter","segmented_worms",8,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,12,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,12,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,6,"DIASP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Diamesinae","Diamesini","Diamesa","Diamesa sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,64.5161290322581,"count per square meter",NA,5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,4,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,2,"TRISP26","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Podonominae","Boreochlini","Trichotanypus","Trichotanypus sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,NA,"cg","scr",NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",8,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,2,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,10,"BAESP2","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Baetis","Baetis sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,107.52688172043,"count per square meter","Baetis",4,"cg","scr",NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,7,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,1,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"CHASP12","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Chaetocladius","Chaetocladius sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,2,"ACASP1","Arthropoda","Chelicerata","Arachnida","Acari",NA,NA,NA,NA,NA,"Acari sp.","subclass","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,6,"prd",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,3,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.KICKNET.5","D19","CARI",2016-07-11 21:15:00,4,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,2,"EUKCOE","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella coerulescens gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"ISOSP9","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Perlodidae","Isoperlinae",NA,"Isoperla","Isoperla sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","Isoperla",2,"prd","cg",NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"HELSP20","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Simuliidae",NA,NA,"Helodon","Helodon sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter",NA,2,"cf",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,14,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,150.537634408602,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,1,"ORTSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Orthocladius","Orthocladius sp.","genus","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","midges",6,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","segmented_worms",8,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","segmented_worms",10,"cg",NA,NA,NA
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,4,"EUKCOE","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella coerulescens gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,1,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
"CARI.20160711.KICKNET.1","D19","CARI",2016-07-11 21:15:00,4,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,16,"count per square meter","Cinygmula",2,"scr","cg",NA,NA
