"domainID","siteID","namedLocation","collectDate","algSampleID","perBottleSampleVolume","algalParameter","algalParameterValue","eventID","date","year","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass","alg_dens","alg_dens_unit","mean.parws","median.parws"
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"cell density",5861,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2435993.34995844,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",4244,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1763923.52452203,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"cell density",578583,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",240475062.34414,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",2,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",336.813742000674,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"cell density",112274,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",18907713.0346918,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"valves",43,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",7241.49545301448,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"biovolume density",184606579,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",76727588944.3059,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",1241551,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",209085719.097339,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"valves",4,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",3025243,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1257374480.4655,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"cell density",117276,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",19750084.2034355,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"cell density",82096,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",13825530.4816437,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"biovolume density",5615128,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2333802161.26351,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",25463,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",10583125.5195345,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",42994807,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",7240620916.13338,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"valves",180,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",74812.9675810474,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"valves",5,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2078.13798836243,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"valves",9,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",1515.66183900303,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"biovolume density",37740682,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6355790165.03873,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"cell density",18712,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",3151229.3701583,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"cell density",9643,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",4007896.92435578,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",66083714,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",11128951498.8212,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"valves",3,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",505.22061300101,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",45010921,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",7580148366.45335,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",270142,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",112278470.490441,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",91505331,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",15410126473.5601,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"biovolume density",62663943,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",10553038565.1735,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"cell density",2931,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1218204.48877805,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"cell density",37425,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6302627.14718761,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"cell density",117276,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",19750084.2034355,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"valves",3,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1246.88279301746,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"biovolume density",21803965,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",9062329592.68495,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",8047119,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",3344604738.15461,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",6,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",1010.44122600202,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",205490809,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",34606064163.0179,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",12731,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",5291354.94596841,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",55073871,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",9274818288.98619,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"cell density",117276,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",19750084.2034355,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",110340,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",45860349.127182,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",40101099,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6753300606.26474,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"valves",27,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",4546.98551700909,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"biovolume density",10568239,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",4392451787.19867,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"cells",4,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1662.51039068994,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",4244,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1763923.52452203,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"cell density",37425,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6302627.14718761,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"cell density",6429,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2672069.82543641,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",16975,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",7055278.47049044,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",105340735,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",17740103570.2257,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.2",61,"valves",3,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",1246.88279301746,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",21167009,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",3564669754.12597,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.2",61,"biovolume density",5258333,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2185508312.55195,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",14099913,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",5860312967.58105,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"biovolume density",12532395,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",5208809226.93267,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",65358804,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",11006871673.9643,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",21219,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",8819201.99501247,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",4,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",673.627484001347,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"biovolume density",613,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"biovolume density",20680515,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",3482740821.82553,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",24188842,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",4073567194.34153,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"cell density",3,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",26211278,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",4414159312.89997,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",78890471,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",13285697372.8528,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"biovolume density",1032,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.1",59,"cells",229,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",95178.7198669992,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",5588091,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",941072920.175143,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"valves",7,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2909.3931837074,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"biovolume density",42992995,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",17869075228.5952,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"valves",5,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2078.13798836243,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",25974554,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",4374293364.76928,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"valves",14,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"valves",1,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",415.627597672485,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"cell density",41048,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6912765.24082183,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"biovolume density",1568805,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",652038653.366583,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.1",59,"valves",6,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",2493.76558603491,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",4,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",673.627484001347,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",809095,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",336282211.13882,"count or biovolume per square meter",NA,NA
