"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mon.ADD","mon.precip","mean.SpCond","median.SpCond","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.chl","median.chl","mean.turb","median.turb","mean.fDOM","median.fDOM","mean.wTemp","median.wTemp"
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"RHYACU","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila acutiloba","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,1,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,3,"ACESP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Acerpenna","Acerpenna sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,2,"DIPMOD","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydropsychidae","Diplectroninae",NA,"Diplectrona","Diplectrona modesta","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,0,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,24,"TANSP11","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","Tanytarsus sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,258.064516129032,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,7,"TRISP16","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Trissopelopia","Trissopelopia sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter",NA,4,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,1,"CERSP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae",NA,NA,"Ceratopogoninae sp.","subfamily","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,7,"ZAVSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Zavrelimyia","Zavrelimyia sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter","midges",8,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,1,"HEMSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Empididae","Hemerodromiinae","Hemerodromiini","Hemerodromia","Hemerodromia sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"PROTAR","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Promoresia","Promoresia tardella","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,2,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,15,"PERSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Perlidae",NA,NA,NA,"Perlidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,161.290322580645,"count per square meter","unknown_perlid",3,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,4,"LEPSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Leptophlebiidae",NA,NA,NA,"Leptophlebiidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"HEXSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Tipulidae","Limoniinae","Hexatomini","Hexatoma","Hexatoma sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,2,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.1","D01","HOPB",2016-10-11 14:38:00,1,"NILFIM","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Nilotanypus","Nilotanypus fimbriatus","species","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter",NA,4,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,4,"PERSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Perlodidae",NA,NA,NA,"Perlodidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,2,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,1,"NEOSP40","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Chironominae","Tanytarsini","Neostempellina","Neostempellina sp.","genus","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter",NA,2,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,6,"MICPED","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Microtendipes","Microtendipes pedellus gr.","speciesGroup","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,64.5161290322581,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,4,"PROTAR","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Promoresia","Promoresia tardella","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,2,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,4,"POLSCA","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum scalaenum gr.","speciesGroup","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,666.666666666667,"count per square meter",NA,6,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,1,"PISSP4","Mollusca",NA,"Bivalvia","Heterodonta","Veneroida","Pisidiidae",NA,NA,"Pisidium","Pisidium sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,4,"PLESP","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera",NA,NA,NA,NA,"Plecoptera sp.","order","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,4,"ATUSP","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Aturidae",NA,NA,NA,"Aturidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter",NA,5,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,2,"HYDSP5","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydroptilidae",NA,NA,NA,"Hydroptilidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter","unknown_hydroptilid",2,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,1,"PSEHER","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Psephenidae","Psepheninae",NA,"Psephenus","Psephenus herricki","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,4,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.1","D01","HOPB",2016-10-11 14:38:00,2,"TRISP16","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Trissopelopia","Trissopelopia sp.","genus","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,333.333333333333,"count per square meter",NA,4,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,1,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter",NA,5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,3,"DIPHAG","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Diphetor","Diphetor hageni","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter","Diphetor_hageni",6,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"PERSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Perlodidae",NA,NA,NA,"Perlodidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,2,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,3,"RHEPEL","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Rheotanytarsus","Rheotanytarsus pellucidus gr.","speciesGroup","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter",NA,4,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,1,"DIPHAG","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Diphetor","Diphetor hageni","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","Diphetor_hageni",6,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,1,"BEZSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Palpomyiini","Bezzia/Palpomyia","Bezzia/Palpomyia sp.","speciesGroup","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter","Bezzia",6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,1,"RHYMIN","Arthropoda",NA,"Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila minora","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,0,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,45,"TANSP11","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","Tanytarsus sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,483.870967741935,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"BEZSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae","Palpomyiini","Bezzia/Palpomyia","Bezzia/Palpomyia sp.","speciesGroup","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","Bezzia",6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,6,"STESP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Stempellinella","Stempellinella sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,64.5161290322581,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,7,"TAESP3","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Taeniopterygidae","Taeniopteryginae",NA,"Taeniopteryx","Taeniopteryx sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter","Taeniopteryx",2,"sh","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,1,"GOMSP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Gomphidae",NA,NA,NA,"Gomphidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,4,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,1,"SPESP5","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Sperchontidae",NA,NA,"Sperchonopsis","Sperchonopsis sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","Sperchonopsis",8,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,8,"PARSP15","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Capniidae","Capniinae",NA,"Paracapnia","Paracapnia sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,86.0215053763441,"count per square meter",NA,1,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,3,"STESP6","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Stenelmis","Stenelmis sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter","Stenelmis",5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,3,"STESP6","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Stenelmis","Stenelmis sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter","Stenelmis_decorata",5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,3,"STESP6","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Stenelmis","Stenelmis sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter","Stenelmis",5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.3","D01","HOPB",2016-10-11 14:38:00,1,"POLSCA","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum scalaenum gr.","speciesGroup","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter",NA,6,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.5","D01","HOPB",2016-10-11 14:38:00,1,"RHEEXI","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Rheotanytarsus","Rheotanytarsus exiguus gr.","speciesGroup","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,1,"ACESP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Acerpenna","Acerpenna sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,3,"LEPSP20","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Lepidostomatidae","Lepidostomatinae",NA,"Lepidostoma","Lepidostoma sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,32.258064516129,"count per square meter",NA,1,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,7,"EPEVIT","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Epeorus","Epeorus vitreus","species","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter","Epeorus",0,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.1","D01","HOPB",2016-10-11 14:38:00,1,"PISSP4","Mollusca",NA,"Bivalvia","Heterodonta","Veneroida","Pisidiidae",NA,NA,"Pisidium","Pisidium sp.","genus","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
