"","name","pubCode","description","startDate","endDate"
"76","apl.IDQualifiersAllRanks","cf. parvdivision","Roughly equals but 'not sure' about the parvdivision",2012-01-01,NA
"77","apl.IDQualifiersAllRanks","aff. parvdivision","Similar to but is not the parvdivision",2012-01-01,NA
"78","apl.IDQualifiersAllRanks","cf. superclass","Roughly equals but 'not sure' about the superclass",2012-01-01,NA
"79","apl.IDQualifiersAllRanks","aff. superclass","Similar to but is not the superclass",2012-01-01,NA
"80","apl.IDQualifiersAllRanks","cf. class","Roughly equals but 'not sure' about the class",2012-01-01,NA
"81","apl.IDQualifiersAllRanks","aff. class","Similar to but is not the class",2012-01-01,NA
"82","apl.IDQualifiersAllRanks","cf. subclass","Roughly equals but 'not sure' about the subclass",2012-01-01,NA
"83","apl.IDQualifiersAllRanks","aff. subclass","Similar to but is not the subclass",2012-01-01,NA
"84","apl.IDQualifiersAllRanks","cf. infraclass","Roughly equals but 'not sure' about the infraclass",2012-01-01,NA
"85","apl.IDQualifiersAllRanks","aff. infraclass","Similar to but is not the infraclass",2012-01-01,NA
"86","apl.IDQualifiersAllRanks","cf. superorder","Roughly equals but 'not sure' about the superorder",2012-01-01,NA
"87","apl.IDQualifiersAllRanks","aff. superorder","Similar to but is not the superorder",2012-01-01,NA
"88","apl.IDQualifiersAllRanks","cf. order","Roughly equals but 'not sure' about the order",2012-01-01,NA
"89","apl.IDQualifiersAllRanks","aff. order","Similar to but is not the order",2012-01-01,NA
"90","apl.IDQualifiersAllRanks","cf. suborder","Roughly equals but 'not sure' about the suborder",2012-01-01,NA
"91","apl.IDQualifiersAllRanks","aff. suborder","Similar to but is not the suborder",2012-01-01,NA
"92","apl.IDQualifiersAllRanks","cf. family","Roughly equals but 'not sure' about the family",2012-01-01,NA
"93","apl.IDQualifiersAllRanks","aff. family","Similar to but is not the family",2012-01-01,NA
"94","apl.IDQualifiersAllRanks","cf. subfamily","Roughly equals but 'not sure' about the subfamily",2012-01-01,NA
"95","apl.IDQualifiersAllRanks","aff. subfamily","Similar to but is not the subfamily",2012-01-01,NA
"96","apl.IDQualifiersAllRanks","cf. tribe","Roughly equals but 'not sure' about the tribe",2012-01-01,NA
"97","apl.IDQualifiersAllRanks","aff. tribe","Similar to but is not the tribe",2012-01-01,NA
"98","apl.IDQualifiersAllRanks","cf. subtribe","Roughly equals but 'not sure' about the subtribe",2012-01-01,NA
"99","apl.IDQualifiersAllRanks","aff. subtribe","Similar to but is not the subtribe",2012-01-01,NA
"100","apl.IDQualifiersAllRanks","cf. genus","Roughly equals but 'not sure' about the genus",2012-01-01,NA
"101","apl.IDQualifiersAllRanks","aff. genus","Similar to but is not the genus",2012-01-01,NA
"102","apl.IDQualifiersAllRanks","cf. subgenus","Roughly equals but 'not sure' about the subgenus",2012-01-01,NA
"103","apl.IDQualifiersAllRanks","aff. subgenus","Similar to but is not the subgenus",2012-01-01,NA
"104","apl.IDQualifiersAllRanks","cf. section","Roughly equals but 'not sure' about the section",2012-01-01,NA
"105","apl.IDQualifiersAllRanks","aff. section","Similar to but is not the section",2012-01-01,NA
"106","apl.IDQualifiersAllRanks","cf. subsection","Roughly equals but 'not sure' about the subsection",2012-01-01,NA
"107","apl.IDQualifiersAllRanks","aff. subsection","Similar to but is not the subsection",2012-01-01,NA
"108","apl.IDQualifiersAllRanks","cf. species","Roughly equals but 'not sure' about the species",2012-01-01,NA
"109","apl.IDQualifiersAllRanks","aff. species","Similar to but is not the species",2012-01-01,NA
"110","apl.IDQualifiersAllRanks","cf. subspecies","Roughly equals but 'not sure' about the subspecies",2012-01-01,NA
"111","apl.IDQualifiersAllRanks","aff. subspecies","Similar to but is not the subspecies",2012-01-01,NA
"112","apl.IDQualifiersAllRanks","cf. variety","Roughly equals but 'not sure' about the variety",2012-01-01,NA
"113","apl.IDQualifiersAllRanks","aff. variety","Similar to but is not the variety",2012-01-01,NA
"114","apl.IDQualifiersAllRanks","cf. subvariety","Roughly equals but 'not sure' about the subvariety",2012-01-01,NA
"115","apl.IDQualifiersAllRanks","aff. subvariety","Similar to but is not the subvariety",2012-01-01,NA
"116","apl.IDQualifiersAllRanks","cf. form","Roughly equals but 'not sure' about the form",2012-01-01,NA
"117","apl.IDQualifiersAllRanks","aff. form","Similar to but is not the form",2012-01-01,NA
"118","apl.IDQualifiersAllRanks","sp. nov.","Represents a species new to science that has been verified by a recognized authority or one that appears in the literature as such? ",2012-01-01,NA
"119","apl.IDQualifiersAllRanks","spp. nr.","Refers to multiple potentially undescribed species nearest to the species indicated",2012-01-01,NA
"120","apl.IDQualifiersAllRanks","sp. nr.","Refers to a potentially undescribed species nearest to the species indicated",2012-01-01,NA
"121","apl.qcTaxonomyStatus","original","Original identification",2012-01-01,NA
"122","apl.qcTaxonomyStatus","QC","Identification confirmed during QAQC",2012-01-01,NA
"123","apl.sampleCondition","Condition OK","Condition OK",2012-01-01,NA
"124","apl.sampleCondition","Sample Damaged or Lost","Sample Damaged or Lost",2012-01-01,NA
"125","apl.sampleCondition","damaged, affecting analysis","Damaged, affecting analysis",2012-01-01,2018-03-30
"126","apl.sampleCondition","Sample Leakage","Sample Leakage",2012-01-01,NA
"127","apl.sampleCondition","sample leakage","Sample leakage",2012-01-01,2018-03-30
"128","apl.sampleCondition","Sample Damaged or Lost","Sample Damaged or Lost",2012-01-01,NA
"129","apl.sampleCondition","Sample Leakage","Sample Leakage",2012-01-01,NA
"130","apl.sampleCondition","other (explain in remarks)","other (explain in remarks)",2012-01-01,NA
"131","apl.sampleCondition","not analyzed","not analyzed",2012-01-01,NA
"132","apl.sampleCondition","Diatom slide not created","Diatom slide not created",2012-01-01,NA
"133","apl.taxonDatabaseName","NADED","North American Diatom Ecological Database (NADED)",2012-01-01,NA
"134","apl.unit","cubicMicrometerPerBottle","Cubic micrometers per bottle",2012-01-01,NA
"135","apl.unit","cellsPerBottle","Cells per bottle",2012-01-01,NA
"136","apl.unit","count","Count",2012-01-01,NA
"137","apl.unit","none","None",2012-01-01,NA
"138","aquaticSiteType","lake","lake",2012-01-01,NA
"139","aquaticSiteType","stream","stream",2012-01-01,NA
"140","aquaticSiteType","river","river",2012-01-01,NA
"141","biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01,NA
"142","biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01,NA
"143","biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01,NA
"144","biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01,NA
"145","biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01,NA
"146","biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01,NA
"147","biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01,NA
"148","inv.habitatType","riffle","Shallow, swift stream habitat with high turbulence, typically with relatively coarse sediment size",2012-01-01,NA
"149","inv.habitatType","run","Shallow to deep stream habitat with swift to moderate flow, characterized by low turbulence (i.e., smooth water surface)",2012-01-01,NA
"150","inv.habitatType","pool","Typically the deepest habitats in a stream, pools are characterized by smaller substrate size and relatively slow moving water",2012-01-01,NA
"151","inv.habitatType","stepPool","In high-gradient streams, a series of pools separated by boulder or cobble steps, causing fast flow over the steps and slow flow in the pools",2012-01-01,NA
"152","inv.habitatType","littoral","The shallow zone along the shore of a lake or river where light penetration reaches the bottom",2012-01-01,NA
"153","inv.habitatType","pelagic","The part of the lake or river that is not near shore or close to the bottom",2012-01-01,NA
"154","inv.habitatType","other","A habitat type other than those listed as options; see remarks",2012-01-01,NA
"155","inv.substratumSizeClass","clay","Grain size 0.001 - 0.004 mm",2012-01-01,NA
"156","inv.substratumSizeClass","silt","Grain size 0.004 - 0.062 mm",2012-01-01,NA
"157","inv.substratumSizeClass","sand","Grain size 0.062 - 2.0 mm",2012-01-01,NA
"158","inv.substratumSizeClass","pebble","Grain size 2.0 - 64.0 mm",2012-01-01,NA
"159","inv.substratumSizeClass","cobble","Grain size 64.0 - 256.0 mm",2012-01-01,NA
"160","inv.substratumSizeClass","boulder","Grain size > 256.0 mm",2012-01-01,NA
"161","inv.substratumSizeClass","bedrock","bedrock",2012-01-01,NA
"162","inv.substratumSizeClass","large woody debris","large woody debris",2018-07-01,NA
"163","inv.substratumSizeClass","other","other",2012-01-01,NA
"164","samplingImpractical","location dry","location dry",2012-01-01,NA
"165","samplingImpractical","location frozen","location frozen",2012-01-01,NA
"166","samplingImpractical","location snow covered","location snow covered",2012-01-01,NA
"167","samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01,NA
"168","samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01,NA
"169","samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01,NA
"170","samplingImpractical","high water velocity","high water velocity",2012-01-01,NA
"171","samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01,NA
"172","samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01,NA
"173","samplingImpractical","OK","OK",2012-01-01,NA
"174","samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01,NA
"175","samplingImpractical","location flooded","location flooded",2012-01-01,NA
"176","samplingImpractical","logistical","logistical",2012-01-01,NA
"177","samplingImpractical","management","management",2012-01-01,NA
"178","samplingImpractical","extreme weather","extreme weather",2012-01-01,NA
"179","samplingImpractical","location burned","location burned",2012-01-01,NA
"180","samplingImpractical","temperature low","temperature low",2012-01-01,NA
"181","samplingImpractical","temperature high","temperature high",2012-01-01,NA
"182","samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01,NA
"183","samplingImpractical","too windy","too windy",2012-01-01,NA
"184","samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01,NA
"185","samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01,NA
"186","Yes or No choice","Y","Yes",2012-01-01,NA
"187","Yes or No choice","N","No",2012-01-01,NA
