"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"TSW_30min","persistenceNAQM","Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","stepFailQM","Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","stepPassQM","Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","stepNAQM","Quality metric that summarizes when the step test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","nullFailQM","Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","nullPassQM","Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","nullNAQM","Quality metric that summarizes when the null test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","gapFailQM","Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","gapPassQM","Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","gapNAQM","Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","spikeFailQM","Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","spikePassQM","Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","spikeNAQM","Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","validCalFailQM","Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","validCalPassQM","Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","validCalNAQM","Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","alphaQM","Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","betaQM","Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","finalQF","Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","unsigned integer",NA,"basic","integer",NA,NA
"TSW_30min","finalQFSciRvw","Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"TSW_30min","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",NA
"TSW_5min","domainID","Unique identifier of the NEON domain","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_5min","siteID","NEON site code","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_5min","horizontalPosition","Index of horizontal location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_5min","verticalPosition","Index of vertical location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_5min","startDateTime","Date and time at which a sampling is initiated","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"TSW_5min","endDateTime","Date and time at which a sampling is completed","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"TSW_5min","surfWaterTempMean","Arithmetic mean of temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_5min","surfWaterTempMinimum","Minimum temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_5min","surfWaterTempMaximum","Maximum temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_5min","surfWaterTempVariance","Variance in temperature of surface water in degrees celsius","real","celsiusSquared","basic","*.###(round)",NA,NA
"TSW_5min","surfWaterTempNumPts","Number of points used to calculate the arithmetic mean of temperature of surface water in degrees celsius","real","number","basic","integer",NA,NA
"TSW_5min","surfWaterTempExpUncert","Expanded uncertainty for temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_5min","surfWaterTempStdErMean","Standard error of the mean for temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_5min","rangeFailQM","Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","rangePassQM","Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","rangeNAQM","Quality metric that summarizes when the range test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","persistenceFailQM","Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","persistencePassQM","Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","persistenceNAQM","Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","stepFailQM","Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","stepPassQM","Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","stepNAQM","Quality metric that summarizes when the step test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","nullFailQM","Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","nullPassQM","Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","nullNAQM","Quality metric that summarizes when the null test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","gapFailQM","Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","gapPassQM","Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","gapNAQM","Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","spikeFailQM","Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","spikePassQM","Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","spikeNAQM","Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","validCalFailQM","Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","validCalPassQM","Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","validCalNAQM","Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","alphaQM","Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","betaQM","Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded","*.###(round)",NA,NA
"TSW_5min","finalQF","Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","unsigned integer",NA,"basic","integer",NA,NA
"TSW_5min","finalQFSciRvw","Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"TSW_5min","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",NA
