date,BvA,year,season,sampleTime,location,habitat,sampleID,labelColor,microhabitat,quadrat,vial,acceptedTaxonID,taxonRank,scientificName,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,organism_aggr,notes,number,tolerance,FFG,FFG2,Habit,Habit2
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,CHISP7,genus,Chimarra sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,NA,NA,Chimarra,obscurra,Chimarra_obscura,NA,1,4,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,6,CHISP7,genus,Chimarra sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,NA,NA,Chimarra,obscurra,Chimarra_obscura,NA,7,4,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,CHISP7,genus,Chimarra sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,NA,NA,Chimarra,obscurra,Chimarra_obscura,NA,1,4,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,10,CHISP7,genus,Chimarra sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Philopotamidae,NA,NA,Chimarra,obscurra,Chimarra_obscura,NA,3,4,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,5D,DRUSP,genus,Drunella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,Drunella,NA,1,0,scr,NA,clg,spr
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,6E,DRUSP,genus,Drunella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,Drunella,NA,6,0,scr,NA,clg,spr
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10E,DRUSP,genus,Drunella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,Drunella,NA,4,0,scr,NA,clg,spr
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2E,DRUSP,genus,Drunella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,NA,Drunella,NA,2,0,scr,NA,clg,spr
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,5D,DRUSP,genus,Drunella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,walkeri,Drunella,NA,1,0,scr,NA,clg,spr
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,9A,EPESP,genus,Epeorus sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,NA,Epeorus,NA,1,0,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10B,EPESP,genus,Epeorus sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,NA,Epeorus,NA,4,0,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,4,EPESP,genus,Epeorus sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,NA,Epeorus,NA,3,0,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2C,EPEVIT,species,Epeorus vitreus,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Epeorus,vitreus,Epeorus,NA,1,0,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,5C,EPHDOR,speciesGroup,Ephemerella dorothea/excrucians,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,Ephemerella,NA,13,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2D,EPHDOR,speciesGroup,Ephemerella dorothea/excrucians,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,Ephemerella,NA,9,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2D,EPHDOR,speciesGroup,Ephemerella dorothea/excrucians,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,dorothea,Ephemerella,NA,6,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,9,EPHSP4,genus,Ephemerella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,NA,Ephemerella,NA,35,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,6F,EPHSP4,genus,Ephemerella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,NA,Ephemerella,NA,10,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10C,EPHSP4,genus,Ephemerella sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerella,NA,Ephemerella,NA,8,1,cg,scr,clg,sw
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,52,GEOSP3,genus,Georthocladius sp.,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Georthocladius,NA,midges,NEW,2,6,cg,NA,spr,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,5,GIRSP,genus,Girardia sp.,Platyhelminthes,Rhabditophora,Trepaxonemata,Neoophora,Dugesiidae,NA,NA,Girardia,NA,Girardia,NA,2,6,prd,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,11,GIRSP,genus,Girardia sp.,Platyhelminthes,Rhabditophora,Trepaxonemata,Neoophora,Dugesiidae,NA,NA,Girardia,NA,Girardia,NA,1,6,prd,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,11,GLOSP1,family,Glossosomatidae sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,NA,NA,unknown_glossosomatid,pupa,2,1,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,11,GLOSP1,family,Glossosomatidae sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,NA,NA,unknown_glossosomatid,larvae,2,1,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,3,GLOSP1,family,Glossosomatidae sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,NA,NA,unknown_glossosomatid,pupating larvae,3,1,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,GLOSP3,genus,Glossosoma sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,NA,Glossosoma,NA,2,0,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,3,GLOSP3,genus,Glossosoma sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,NA,Glossosoma,NA,1,0,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,GLOSP3,genus,Glossosoma sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Glossosomatidae,NA,NA,Glossosoma,NA,Glossosoma,NA,1,0,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,9D,HABSP1,genus,Habrophlebiodes sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Habrophlebiodes,NA,Habrophlebiodes,NA,1,6,scr,cg,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,HYDBET,species,Hydropsyche betteni,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,betteni,Hydropsyche,NA,2,7,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,11,HYDSP23,genus,Hydropsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,5,HYDSP23,genus,Hydropsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,3,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,7,HYDSP23,genus,Hydropsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2F,ISOSP6,genus,Isonychia sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Isonychiidae,NA,NA,Isonychia,bicolor,Isonychia,NA,2,2,cf,prd,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2F,ISOSP6,genus,Isonychia sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Isonychiidae,NA,NA,Isonychia,bicolor,Isonychia,NA,2,2,cf,prd,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2F,ISOSP6,genus,Isonychia sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Isonychiidae,NA,NA,Isonychia,bicolor,Isonychia,NA,1,2,cf,prd,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2F,ISOSP6,genus,Isonychia sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Isonychiidae,NA,NA,Isonychia,bicolor,Isonychia,NA,1,2,cf,prd,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,6B,ISOSP6,genus,Isonychia sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Isonychiidae,NA,NA,Isonychia,NA,Isonychia,NA,1,2,cf,prd,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,5,LEBSP1,genus,Lebertia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,NA,Lebertia,NA,1,8,prd,NA,sw,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,13,LEBSP1,genus,Lebertia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,NA,Lebertia,NA,2,8,prd,NA,sw,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,6,LEBSP1,genus,Lebertia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,NA,Lebertia,NA,1,8,prd,NA,sw,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,8,LEBSP1,genus,Lebertia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,NA,Lebertia,NA,1,8,prd,NA,sw,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,5B,LEUSP7,genus,Leucrocuta sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Leucrocuta,NA,Leucrocuta,NA,1,1,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,6C,LEUSP7,genus,Leucrocuta sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Leucrocuta,NA,Leucrocuta,NA,10,1,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10F,LEUSP7,genus,Leucrocuta sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Leucrocuta,NA,Leucrocuta,NA,2,1,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2C,LEUSP7,genus,Leucrocuta sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Leucrocuta,NA,Leucrocuta,NA,2,1,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2B,LEUSP7,genus,Leucrocuta sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Leucrocuta,NA,Leucrocuta,NA,16,1,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,11A,LEUSP8,genus,Leuctra sp.,Arthropoda,Hexapoda,Insecta,Plecoptera,Leuctridae,NA,NA,Leuctra,NA,Leuctra,NA,1,0,sh,cg,spr,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,9A,LEUSP8,genus,Leuctra sp.,Arthropoda,Hexapoda,Insecta,Plecoptera,Leuctridae,NA,NA,Leuctra,NA,Leuctra,NA,1,0,sh,cg,spr,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,12,LUMVAR,species,Lumbriculus variegatus,Annelida,NA,Clitellata,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,variegatus,segmented_worms,NA,1,5,cg,NA,bur,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,5A,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,50,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,4,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,1,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,6,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,10,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10D,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,5,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2A,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,7,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2A,MACSP11,genus,Maccaffertium sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Maccaffertium,NA,Maccaffertium,NA,23,2,scr,cg,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,7,NATSP2,genus,Natarsia sp.,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Natarsiini,Natarsia,NA,midges,NA,1,8,prd,NA,spr,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,4,NATSP2,genus,Natarsia sp.,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Tanypodinae,Natarsiini,Natarsia,NA,midges,NA,1,8,prd,NA,spr,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,NEOSP13,genus,Neophylax sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Uenoidae,NA,NA,Neophylax,NA,Neophylax,NA,66,3,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,NEOSP13,genus,Neophylax sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Uenoidae,NA,NA,Neophylax,NA,Neophylax,NA,21,3,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,NEOSP13,genus,Neophylax sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Uenoidae,NA,NA,Neophylax,NA,Neophylax,NA,38,3,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,7,NEOSP13,genus,Neophylax sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Uenoidae,NA,NA,Neophylax,NA,Neophylax,pupa,1,3,scr,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2,NEOSP13,genus,Neophylax sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Uenoidae,NA,NA,Neophylax,NA,Neophylax,NA,25,3,scr,NA,clg,NA
