"acceptedTaxonID","division","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","taxonRank"
"NEONDREX194005","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Placoneis","elginensis",NA,"Placoneis elginensis (Gregory) Cox","species"
"NEONDREX48011","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","fonticola",NA,"Nitzschia fonticola (Grunow) Grunow","species"
"NEONDREX35036","Chrysophyta","Bacillariophyceae","Pennales","Amphipleuraceae","Frustulia","amphipleuroides",NA,"Frustulia amphipleuroides (Grunow) Cleve-Euler","species"
"NEONDREX1010","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Achnanthidium","minutissimum",NA,"Achnanthidium minutissimum (Kützing) Czarnecki","species"
"NEONDREX189003","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Rossithidium","pusillum",NA,"Rossithidium pusillum (Grunow) Round et Bukhtiyarova","species"
"NEONDREX110091","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Encyonema","ventricosum",NA,"Encyonema ventricosum (C. A. Agardh) Grunow","species"
"NEONDREX33185","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","bilunaris",NA,"Eunotia bilunaris (Ehrenberg) Souza","species"
"NEONDREX110004","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Encyonema","minutum",NA,"Encyonema minutum (Hilse) Mann","species"
"NEONDREX16003","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Cocconeis","placentula","var. lineata","Cocconeis placentula var. lineata (Ehrenberg) Van Heurck","variety"
"NEONDREX190007","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Cymbopleura","subcuspidata",NA,"Cymbopleura subcuspidata (Krammer) Krammer","species"
"NEONDREX23048","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Cymbella","aspera",NA,"Cymbella aspera (Ehrenberg) Cleve","species"
"NEONDREX210007","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Geissleria","kriegeri",NA,"Geissleria kriegeri (Krasske) Lange-Bertalot","species"
"NEONDREX34105","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Fragilaria","tenera",NA,"Fragilaria tenera (Smith) Lange-Bertalot","species"
"NEONDREX48008","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","dissipata",NA,"Nitzschia dissipata (Kützing) Grunow","species"
"NEONDREX46002","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","angusta",NA,"Navicula angusta Grunow","species"
"NEONDREX34030","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Fragilaria","vaucheriae",NA,"Fragilaria vaucheriae (Kützing) Petersen","species"
"NEONDREX37310","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","exilissimum",NA,"Gomphonema exilissimum (Grunow) Lange-Bertalot et Reichardt","species"
"NEONDREX1038","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Achnanthidium","deflexum",NA,"Achnanthidium deflexum (Reimer) Kingston","species"
"NEONDREX67004","Chrysophyta","Bacillariophyceae","Pennales","Tabellariaceae","Tabellaria","flocculosa",NA,"Tabellaria flocculosa (Roth) Kützing","species"
"NEONDREX170006","Chrysophyta","Bacillariophyceae","Pennales","Sellaphoraceae","Sellaphora","pupula",NA,"Sellaphora pupula (Kützing) Meresckowsky","species"
"NEONDREX62007","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Stauroneis","smithii",NA,"Stauroneis smithii Grunow","species"
"NEONDREX189007","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Rossithidium","anastasiae",NA,"Rossithidium anastasiae (Kaczmarska) Potapova","species"
"NEONDREX210003","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Geissleria","decussis",NA,"Geissleria decussis (Østrup) Lange-Bertalot et Metzeltin","species"
"NEONDREX245001","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Ulnaria","ulna",NA,"Ulnaria ulna (Nitzsch) Compère","species"
"NEONDREX21007","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Craticula","submolesta",NA,"Craticula submolesta (Hustedt) Lange-Bertalot","species"
"NEONDREX48188","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","vitrea",NA,"Nitzschia vitrea Norman","species"
"NEONDREX12001","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Caloneis","bacillum",NA,"Caloneis bacillum (Grunow) Cleve","species"
"NEONDREX7075","Chrysophyta","Bacillariophyceae","Pennales","Catenulaceae","Amphora","copulata",NA,"Amphora copulata (Kützing) Schoeman et Archibald","species"
"NEONDREX33172","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","faba",NA,"Eunotia faba (Ehrenberg) Grunow","species"
"NEONDREX33017","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","exigua","var. tridentula","Eunotia exigua var. tridentula Østrup","variety"
"NEONDREX16005","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Cocconeis","placentula","var. euglypta","Cocconeis placentula var. euglypta (Ehrenberg) Grunow","variety"
"NEONDREX47001","Chrysophyta","Bacillariophyceae","Pennales","Neidiaceae","Neidium","affine",NA,"Neidium affine (Ehrenberg) Pfitzer","species"
"NEONDREX863016","Cyanophyta","Myxophyceae","Oscillatoriales","Pseudanabaenaceae","Leptolyngbya","sp.",NA,"Leptolyngbya sp.","genus"
"NEONDREX48347","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","acidoclinata",NA,"Nitzschia acidoclinata Lange-Bertalot","species"
"NEONDREX37001","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","acuminatum",NA,"Gomphonema acuminatum Ehrenberg","species"
"NEONDREX10039","Chrysophyta","Bacillariophyceae","Centrales","Aulacoseiraceae","Aulacoseira","nygaardii",NA,"Aulacoseira nygaardii (Camburn) Camburn et Charles","species"
"NEONDREX37010","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","parvulum",NA,"Gomphonema parvulum (Kützing) Kützing","species"
"NEONDREX46044","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","notha",NA,"Navicula notha Wallace","species"
"NEONDREX48307","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","nana",NA,"Nitzschia nana Grunow ex Van Heurck","species"
"NEONDREX33036","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","naegelii",NA,"Eunotia naegelii Migula","species"
"NEONDREX510002","Chlorophyta","Chlorophyceae","Chlorococcales","Scenedesmaceae","Scenedesmus","ecornis",NA,"Scenedesmus ecornis (Ralfs) Chodat","species"
"NEONDREX58012","Chrysophyta","Bacillariophyceae","Pennales","Rhopalodiaceae","Rhopalodia","operculata",NA,"Rhopalodia operculata (Agardh) Håkansson","species"
"NEONDREX48029","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","recta",NA,"Nitzschia recta Hantzsch ex Rabenhorst","species"
"NEONDREX46527","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","cryptotenella",NA,"Navicula cryptotenella Lange-Bertalot","species"
"NEONDREX62008","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Stauroneis","kriegeri",NA,"Stauroneis kriegeri Patrick","species"
"NEONDREX46154","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","rhynchocephala",NA,"Navicula rhynchocephala Kützing","species"
"NEONDREX37029","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","subclavatum",NA,"Gomphonema subclavatum (Grunow) Grunow","species"
"NEONDREX170135","Chrysophyta","Bacillariophyceae","Pennales","Sellaphoraceae","Sellaphora","nigri",NA,"Sellaphora nigri (De Notaris) Wetzel et Ector","species"
"NEONDREX37168","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","micropus",NA,"Gomphonema micropus Kützing","species"
"NEONDREX7010","Chrysophyta","Bacillariophyceae","Pennales","Catenulaceae","Amphora","inariensis",NA,"Amphora inariensis Krammer","species"
"NEONDREX186011","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Psammothidium","chlidanos",NA,"Psammothidium chlidanos (Hohn et Hellerman) Lange-Bertalot","species"
"NEONDREX46014","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","cryptocephala",NA,"Navicula cryptocephala Kützing","species"
"NEONDREX186038","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Psammothidium","daonense",NA,"Psammothidium daonense Lange-Bertalot emended Lange Bertalot","species"
"NEONDREX33169","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","muscicola","var. tridentula","Eunotia muscicola var. tridentula Nörpel et Lange-Bertalot","variety"
"BACILLARIOCSP","Chrysophyta","Bacillariophyceae",NA,NA,NA,"sp.",NA,"Bacillariophyceae sp.","class"
"NEONDREX47007","Chrysophyta","Bacillariophyceae","Pennales","Neidiaceae","Neidium","bisulcatum",NA,"Neidium bisulcatum (Lagerstedt) Cleve","species"
"NEONDREX34006","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Fragilaria","capucina",NA,"Fragilaria capucina Desmazières","species"
"NEONDREX1050","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Achnanthidium","reimeri",NA,"Achnanthidium reimeri (Camburn) Ponader et Potapova","species"
"NEONDREX186003","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Psammothidium","helveticum",NA,"Psammothidium helveticum (Hustedt) Bukhtiyarova et Round","species"
"NEONDREX73001","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Pseudostaurosira","brevistriata",NA,"Pseudostaurosira brevistriata (Grunow) Williams et Round","species"
"NEONDREX37513","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","caperatum",NA,"Gomphonema caperatum Ponader et Potapova","species"
"NEONDREX46507","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","longicephala",NA,"Navicula longicephala Hustedt","species"
"NEONDREX47006","Chrysophyta","Bacillariophyceae","Pennales","Neidiaceae","Neidium","alpinum",NA,"Neidium alpinum Hustedt","species"
"NEONDREX197005","Chrysophyta","Bacillariophyceae","Pennales","Diadesmidaceae","Diadesmis","perpusilla",NA,"Diadesmis perpusilla (Grunow) Mann","species"
"NEONDREX73010","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Pseudostaurosira","parasitica",NA,"Pseudostaurosira parasitica (Smith) Morales","species"
"NEONDREX890025","Cyanophyta","Myxophyceae","Oscillatoriales","Phormidiaceae","Phormidium","sp.",NA,"Phormidium sp.","genus"
"NEONDREX189004","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Rossithidium","petersennii",NA,"Rossithidium petersennii (Hustedt) Round et Bukhtiyarova","species"
"NEONDREX33012","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","diodon",NA,"Eunotia diodon Ehrenberg","species"
"NEONDREX245003","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Ulnaria","contracta",NA,"Ulnaria contracta (Østrup) Morales et Vis","species"
"NEONDREX33039","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","pectinalis",NA,"Eunotia pectinalis (Kützing) Rabenhorst","species"
"NEONDREX1036","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Achnanthidium","rivulare",NA,"Achnanthidium rivulare Potapova et Ponader","species"
"NEONDREX538009","Chlorophyta","Chlorophyceae","Desmidiales","Desmidiaceae","Staurastrum","alternans",NA,"Staurastrum alternans (Brébisson) Ralfs","species"
"NEONDREX195002","Chrysophyta","Bacillariophyceae","Pennales","Cavinulaceae","Cavinula","jaernefeltii",NA,"Cavinula jaernefeltii (Hustedt) Mann et Stickle","species"
"NEONDREX37178","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","minutum",NA,"Gomphonema minutum (Agardh) Agardh","species"
"NEONDREX46504","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","veneta",NA,"Navicula veneta Kützing","species"
"NEONDREX401000","Chlorophyta","Chlorophyceae","Chaetophorales","Chaetophoraceae","Gongrosira","sp.",NA,"Gongrosira sp.","genus"
"NEONDREX48123","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","pusilla",NA,"Nitzschia pusilla Grunow","species"
"NEONDREX66016","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Synedra","rumpens",NA,"Synedra rumpens Kützing","species"
"NEONDREX48126","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","perminuta",NA,"Nitzschia perminuta (Grunow) Peragallo","species"
"NEONDREX33183","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","minor",NA,"Eunotia minor (Kützing) Grunow","species"
"NEONDREX35025","Chrysophyta","Bacillariophyceae","Pennales","Amphipleuraceae","Frustulia","saxonica",NA,"Frustulia saxonica Rabenhorst","species"
"NEONDREX16031","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Cocconeis","pseudolineata",NA,"Cocconeis pseudolineata (Geitler) Lange-Bertalot","species"
"NEONDREX33362","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","sp.",NA,"Eunotia sp.","genus"
"NEONDREX33031","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","meisteri",NA,"Eunotia meisteri Hustedt","species"
"NEONDREX33019","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","flexuosa",NA,"Eunotia flexuosa (Brébisson ex Kutzing) Kützing","species"
"NEONDREX35011","Chrysophyta","Bacillariophyceae","Pennales","Amphipleuraceae","Frustulia","vulgaris",NA,"Frustulia vulgaris (Thwaites) De Toni","species"
"NEONDREX67002","Chrysophyta","Bacillariophyceae","Pennales","Tabellariaceae","Tabellaria","fenestrata",NA,"Tabellaria fenestrata (Lyngbye) Kützing","species"
"NEONDREX46895","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","viridulacalcis",NA,"Navicula viridulacalcis Lange-Bertalot","species"
"BATRACHOSPFSP","Rhodophyta","Rhodophyceae","Batrachospermales","Batrachospermaceae",NA,"sp.",NA,"Batrachospermaceae sp.","family"
"NEONDREX37118","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","minusculum",NA,"Gomphonema minusculum Krasske","species"
"NEONDREX33051","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","rhomboidea",NA,"Eunotia rhomboidea Hustedt","species"
"NEONDREX46892","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","vilaplanii",NA,"Navicula vilaplanii (Lange-Bertalot et Sabater) Lange-Bertalot et Sabater","species"
"NEONDREX110005","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Encyonema","silesiacum",NA,"Encyonema silesiacum (Bleisch) Mann","species"
"NEONDREX48274","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","agnita",NA,"Nitzschia agnita Hustedt","species"
"NEONDREX45002","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Meridion","circulare","var. constrictum","Meridion circulare var. constrictum (Ralfs) Van Heurck","variety"
"NEONDREX52045","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Pinnularia","microstauron",NA,"Pinnularia microstauron (Ehrenberg) Cleve","species"
"NEONDREX37096","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","pumilum",NA,"Gomphonema pumilum (Grunow) Reichardt et Lange-Bertalot","species"
"NEONDREX155005","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Planothidium","peragalli",NA,"Planothidium peragalli (Brun et Héribaud) Round et Bukhtiyarova","species"
"NEONDREX33026","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","incisa",NA,"Eunotia incisa Smith ex Gregory","species"
"NEONDREX852004","Cyanophyta","Myxophyceae","Oscillatoriales","Pseudanabaenaceae","Homoeothrix","janthina",NA,"Homoeothrix janthina (Bornet et Flahault) Starmach","species"
"NEONDREX37473","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","sp.",NA,"Gomphonema sp.","genus"
"NEONDREX245005","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Ulnaria","acus",NA,"Ulnaria acus (Kützing) Aboal","species"
"NEONDREX33168","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","implicata",NA,"Eunotia implicata Nörpel, Alles et Lange-Bertalot","species"
"NEONDREX212003","Chrysophyta","Bacillariophyceae","Pennales",NA,"Chamaepinnularia","evanida",NA,"Chamaepinnularia evanida (Hustedt) Lange-Bertalot","species"
"NEONDREX66060","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Synedra","ulna","var. ramesi","Synedra ulna var. ramesi (Héribaud) Hustedt","variety"
"NEONDREX35024","Chrysophyta","Bacillariophyceae","Pennales","Amphipleuraceae","Frustulia","crassinervia",NA,"Frustulia crassinervia (Brébisson) Lange-Bertalot et Krammer","species"
"NEONDREX203001","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Encyonopsis","cesatii",NA,"Encyonopsis cesatii (Rabenhorst) Krammer","species"
"NEONDREX62010","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Stauroneis","livingstonii",NA,"Stauroneis livingstonii Reimer","species"
"NEONDREX48013","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","frustulum",NA,"Nitzschia frustulum (Kützing) Grunow","species"
"NEONDREX65069","Chrysophyta","Bacillariophyceae","Pennales","Surirellaceae","Surirella","amphioxys",NA,"Surirella amphioxys Smith","species"
"NEONDREX192007","Chrysophyta","Bacillariophyceae","Pennales","Diatomaceae","Fragilariforma","strangulata",NA,"Fragilariforma strangulata (Zanon) Williams et Round","species"
"NEONDREX45001","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Meridion","circulare",NA,"Meridion circulare (Greville) Agardh","species"
"NEONDREX33267","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","mucophila",NA,"Eunotia mucophila (Lange-Bertalot et Nörpel-Schempp) Lange-Bertalot","species"
"NEONDREX27002","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Diatoma","mesodon",NA,"Diatoma mesodon (Ehrenberg) Kützing","species"
"NEONDREX52049","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Pinnularia","obscura",NA,"Pinnularia obscura Krasske","species"
"NEONDREX48025","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","palea",NA,"Nitzschia palea (Kützing) Smith","species"
"NEONDREX10008","Chrysophyta","Bacillariophyceae","Centrales","Aulacoseiraceae","Aulacoseira","ambigua",NA,"Aulacoseira ambigua (Grunow) Simonsen","species"
"NEONDREX33015","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","exigua",NA,"Eunotia exigua (Brébisson) Rabenhorst","species"
"NEONDREX175005","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Staurosirella","pinnata",NA,"Staurosirella pinnata (Ehrenberg) Williams et Round","species"
"NEONDREX155017","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Planothidium","frequentissimum",NA,"Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot","species"
"NEONDREX37197","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","kobayasii",NA,"Gomphonema kobayasii Kociolek et Kingston","species"
"NEONDREX444000","Chlorophyta","Chlorophyceae","Zygnematales","Zygnemataceae","Mougeotia","sp.",NA,"Mougeotia sp.","genus"
"NEONDREX48153","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","intermedia",NA,"Nitzschia intermedia Hantzsch ex Cleve et Grunow","species"
"NEONDREX48393","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","wuellerstorffii",NA,"Nitzschia wuellerstorffii Lange-Bertalot","species"
"NEONDREX46401","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Navicula","tenelloides",NA,"Navicula tenelloides Hustedt","species"
"NEONDREX52009","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Pinnularia","appendiculata",NA,"Pinnularia appendiculata (Agardh) Cleve","species"
"NEONDREX187002","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Eucocconeis","laevis",NA,"Eucocconeis laevis (Østrup) Lange-Bertalot","species"
"NEONDREX213001","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Hippodonta","capitata",NA,"Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski","species"
"NEONDREX10001","Chrysophyta","Bacillariophyceae","Centrales","Aulacoseiraceae","Aulacoseira","crassipunctata",NA,"Aulacoseira crassipunctata Krammer","species"
"NEONDREX211010","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Mayamaea","permitis",NA,"Mayamaea permitis (Hustedt) Bruder et Medlin","species"
"NEONDREX92006","Chrysophyta","Bacillariophyceae","Pennales",NA,"Nupela","lapidosa",NA,"Nupela lapidosa (Krasske) Lange-Bertalot","species"
"NEONDREX125009","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Karayevia","suchlandtii",NA,"Karayevia suchlandtii (Hustedt) Bukhtiyarova","species"
"NEONDREX995034","Euglenophyta","Euglenophyceae","Euglenales","Euglenaceae","Trachelomonas","abrupta","var. minor","Trachelomonas abrupta var. minor Deflandre","variety"
"NEONDREX48024","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","microcephala",NA,"Nitzschia microcephala Grunow","species"
"NEONDREX210001","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Geissleria","acceptata",NA,"Geissleria acceptata (Hustedt) Lange-Bertalot et Metzeltin","species"
"NEONDREX27001","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Diatoma","anceps",NA,"Diatoma anceps (Ehrenberg) Kirchner","species"
"NEONDREX2132","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Achnanthes","subhudsonis","var. kraeuselii","Achnanthes subhudsonis var. kraeuselii (Cholnoky) Cholnoky","variety"
"NEONDREX48223","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","commutata",NA,"Nitzschia commutata Grunow","species"
"NEONDREX193001","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Stauroforma","exiguiformis",NA,"Stauroforma exiguiformis (Lange-Bertalot) Flower, Jones et Round","species"
"NEONDREX130002","Chrysophyta","Bacillariophyceae","Pennales","Diadesmidaceae","Luticola","mutica",NA,"Luticola mutica (Kützing) Mann","species"
"NEONDREX155003","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Planothidium","lanceolatum",NA,"Planothidium lanceolatum (Brébisson ex Kützing) Lange-Bertalot","species"
"NEONDREX23111","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Cymbella","schubartoides",NA,"Cymbella schubartoides Camburn et Charles","species"
"NEONDREX48023","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","linearis",NA,"Nitzschia linearis (Agardh) Smith","species"
"NEONDREX37070","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","apuncto",NA,"Gomphonema apuncto Wallace","species"
"NEONDREX316113","Chlorophyta","Chlorophyceae","Desmidiales","Closteriaceae","Closterium","cornu","var. upsaliense","Closterium cornu var. upsaliense Nordstedt","variety"
"NEONDREX52043","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Pinnularia","mesolepta",NA,"Pinnularia mesolepta (Ehrenberg) Smith","species"
"NEONDREX35014","Chrysophyta","Bacillariophyceae","Pennales","Amphipleuraceae","Frustulia","weinholdii",NA,"Frustulia weinholdii Hustedt","species"
"NEONDREX62015","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Stauroneis","phoenicenteron",NA,"Stauroneis phoenicenteron (Nitzsch) Ehrenberg","species"
"NEONDREX48638","Chrysophyta","Bacillariophyceae","Pennales","Bacillariaceae","Nitzschia","sp.",NA,"Nitzschia sp.","genus"
"NEONDREX203008","Chrysophyta","Bacillariophyceae","Pennales","Cymbellaceae","Encyonopsis","subminuta",NA,"Encyonopsis subminuta Krammer et Reichardt","species"
"NEONDREX62002","Chrysophyta","Bacillariophyceae","Pennales","Stauroneidaceae","Stauroneis","anceps",NA,"Stauroneis anceps Ehrenberg","species"
"NEONDREX33216","Chrysophyta","Bacillariophyceae","Pennales","Eunotiaceae","Eunotia","bilunaris","var. linearis","Eunotia bilunaris var. linearis (Okuno) Lange-Bertalot et Nörpel","variety"
