"","name","pubCode","description","startDate","endDate"
"64","inv.samplerType","petitePonar","Benthic sampler used in deep soft-sediment habitats, consisting of two steel halves that close when the sampler touches the sediment surface, sampling a 6 in by 6 in area of benthos",2012-01-01,NA
"65","inv.samplerType","lwd","Using large woody debris (LWD) as a substrate for sample, a 0.5 m x 1 m area is scrubbed into a modified kick net with 243 micron mesh",2012-01-01,NA
"66","inv.samplerType","snag","Using small woody debris as a substrate for sample, the woody debris is cut, measured, and scrubbed into a D-frame net with 243 micron mesh",2012-01-01,NA
"67","inv.samplerType","benthicSweep","Benthic littoral sample in lakes and river using a D-frame net with 30 cm wide opening and 243 micron collection net with handle",2012-01-01,NA
"68","inv.samplerType","floatingSweep","Sample collected in floating vegetation mats in a lake using a 0.5 by 0.5 m sample square and a D-frame net with  30 cm wide opening and 243 micron collection net with handle",2012-01-01,NA
"69","inv.samplerType","miniSurber","Benthic sampler consisting of a 15 cm by 15 cm frame and 243 micron mesh collection net, used in shallow flowing waters",2012-01-01,NA
"70","inv.samplerType","grab","Grab sample of rare or unique taxon",2018-07-01,NA
"71","inv.samplingProtocolVersion","NEON.DOC.000690vB","NEON.DOC.000690vB",2012-01-01,NA
"72","inv.samplingProtocolVersion","NEON.DOC.000690vC","NEON.DOC.000690vC",2012-01-01,NA
"73","inv.samplingProtocolVersion","NEON.DOC.000690vD","NEON.DOC.000690vD",2012-01-01,NA
"74","inv.samplingProtocolVersion","NEON.DOC.000690vE","NEON.DOC.000690vE",2012-01-01,NA
"75","inv.samplingProtocolVersion","NEON.DOC.001204vA","NEON.DOC.001204vA",2012-01-01,NA
"76","inv.samplingProtocolVersion","NEON.DOC.001204vB","NEON.DOC.001204vB",2012-01-01,NA
"77","inv.samplingProtocolVersion","NEON.DOC.001204vC","NEON.DOC.001204vC",2012-01-01,NA
"78","inv.samplingProtocolVersion","NEON.DOC.001204vD","NEON.DOC.001204vD",2012-01-01,NA
"79","inv.samplingProtocolVersion","NEON.DOC.003046vA","NEON.DOC.003046vA",2012-01-01,NA
"80","inv.samplingProtocolVersion","NEON.DOC.003046vB","NEON.DOC.003046vB",2012-01-01,NA
"81","inv.samplingProtocolVersion","NEON.DOC.003046vC","NEON.DOC.003046vC",2012-01-01,NA
"82","inv.samplingProtocolVersion","NEON.DOC.003046vD","NEON.DOC.003046vD",2018-11-01,NA
"83","inv.samplingProtocolVersion","NEON.DOC.003046vE","NEON.DOC.003046vE",2018-11-01,NA
"84","inv.substratumSizeClass","clay","Grain size 0.001 - 0.004 mm",2012-01-01,NA
"85","inv.substratumSizeClass","silt","Grain size 0.004 - 0.062 mm",2012-01-01,NA
"86","inv.substratumSizeClass","sand","Grain size 0.062 - 2.0 mm",2012-01-01,NA
"87","inv.substratumSizeClass","pebble","Grain size 2.0 - 64.0 mm",2012-01-01,NA
"88","inv.substratumSizeClass","cobble","Grain size 64.0 - 256.0 mm",2012-01-01,NA
"89","inv.substratumSizeClass","boulder","Grain size > 256.0 mm",2012-01-01,NA
"90","inv.substratumSizeClass","bedrock","bedrock",2012-01-01,NA
"91","inv.substratumSizeClass","large woody debris","large woody debris",2018-07-01,NA
"92","inv.substratumSizeClass","other","other",2012-01-01,NA
"93","samplingImpractical","location dry","location dry",2012-01-01,NA
"94","samplingImpractical","location frozen","location frozen",2012-01-01,NA
"95","samplingImpractical","location snow covered","location snow covered",2012-01-01,NA
"96","samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01,NA
"97","samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01,NA
"98","samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01,NA
"99","samplingImpractical","high water velocity","high water velocity",2012-01-01,NA
"100","samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01,NA
"101","samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01,NA
"102","samplingImpractical","OK","OK",2012-01-01,NA
"103","samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01,NA
"104","samplingImpractical","location flooded","location flooded",2012-01-01,NA
"105","samplingImpractical","logistical","logistical",2012-01-01,NA
"106","samplingImpractical","management","management",2012-01-01,NA
"107","samplingImpractical","extreme weather","extreme weather",2012-01-01,NA
"108","samplingImpractical","location burned","location burned",2012-01-01,NA
"109","samplingImpractical","temperature low","temperature low",2012-01-01,NA
"110","samplingImpractical","temperature high","temperature high",2012-01-01,NA
"111","samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01,NA
"112","samplingImpractical","too windy","too windy",2012-01-01,NA
"113","samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01,NA
"114","samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01,NA
"115","Yes or No choice","Y","Yes",2012-01-01,NA
"116","Yes or No choice","N","No",2012-01-01,NA
